,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,D0V3Y4,6.58873e-171,6,335,481.845,349
1,Q9HWH9,1.30985e-159,6,348,453.34,351
2,B2TEK6,1.78149e-155,11,353,443.325,366
3,P47177,7.73568e-148,29,397,425.606,404
4,Q12723,8.1264e-144,9,373,414.05,374
5,Q49W60,1.24931e-112,10,348,334.313,355
6,Q99VF6,5.18029e-111,8,347,330.076,355
7,A5IR97,5.18029e-111,8,347,330.076,355
8,A6U025,5.18029e-111,8,347,330.076,355
9,Q6GIG7,7.02715e-111,8,347,329.691,355
10,Q6GB05,9.74228e-111,8,347,329.306,355
11,Q8NXG7,1.12238e-110,8,347,329.306,355
12,A8Z1H7,1.96711e-109,8,347,326.224,355
13,A6QFD2,1.96711e-109,8,347,326.224,355
14,Q5HHG4,1.96711e-109,8,347,326.224,355
15,Q2FZX9,1.96711e-109,8,347,326.224,355
16,Q2FIF3,1.96711e-109,8,347,326.224,355
17,Q4L4T4,6.73208e-109,8,348,324.683,357
18,O05413,2.23291e-103,5,343,310.431,347
19,O06179,9.62246e-28,23,345,114.749,375
20,Q9I4V0,6.12744e-26,9,312,108.971,328
21,Q01284,3.17135e-18,33,365,88.1707,378
22,Q6A6A0,1.67992e-07,111,229,54.6584,229
23,Q7NTY1,3.8542e-07,149,258,54.6584,316
24,Q8R7I7,5.52165e-07,66,211,53.5028,237
25,Q58070,7.61736e-07,159,268,53.5028,306
26,A9BJH4,2.45796e-06,227,276,51.962,300
27,C3K017,2.98673e-06,230,321,51.962,341
28,Q8KCW4,3.7398e-06,331,373,51.962,494
29,Q3KFC7,5.00319e-06,230,321,51.1916,339
30,B5EFU4,5.05529e-06,232,272,51.1916,305
31,Q39UK4,9.18977e-06,232,272,50.4212,305
32,P46454,9.64593e-06,238,333,50.4212,381
33,Q4QJK8,9.73258e-06,238,333,50.4212,381
34,Q8T6T2,9.84511e-06,36,284,50.4212,400
35,Q4KFI7,1.01828e-05,226,321,50.4212,339
36,A5UBE3,1.04544e-05,238,333,50.4212,381
37,A5UFG9,1.08351e-05,238,333,50.4212,381
38,Q48JY0,1.6735e-05,230,321,49.6508,343
39,C6E6N2,1.87756e-05,232,272,49.2656,305
40,Q4ZUM3,2.57447e-05,230,321,49.2656,343
41,O50316,2.70889e-05,331,373,49.2656,494
42,B0BTC7,2.94731e-05,257,333,48.8804,381
43,B3GZA5,3.13737e-05,257,333,48.8804,381
44,A3N3E5,3.13737e-05,257,333,48.8804,381
45,Q6DAY3,3.43389e-05,257,333,48.8804,386
46,Q8FWN5,3.48271e-05,122,241,48.8804,525
47,Q8YBP2,3.61745e-05,115,234,48.8804,518
48,Q8A9C3,3.73476e-05,230,270,48.4952,303
49,A5G3H0,3.83233e-05,232,272,48.4952,305
50,Q64TN0,3.83731e-05,230,270,48.4952,303
51,Q5LCI2,3.83731e-05,230,270,48.4952,303
52,Q9ZL14,3.8768e-05,34,365,48.8804,481
53,Q883P1,5.22724e-05,230,321,48.11,343
54,Q88L40,5.32632e-05,230,321,48.11,340
