,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,Q6GB05,0.0,1,355,533.181,355
1,Q6GIG7,0.0,1,355,532.796,355
2,Q99VF6,0.0,1,355,532.796,355
3,A5IR97,0.0,1,355,532.796,355
4,A6U025,0.0,1,355,532.796,355
5,Q8NXG7,0.0,1,355,531.64,355
6,A8Z1H7,0.0,1,355,528.944,355
7,A6QFD2,0.0,1,355,528.944,355
8,Q5HHG4,0.0,1,355,528.944,355
9,Q2FZX9,0.0,1,355,528.944,355
10,Q2FIF3,0.0,1,355,528.944,355
11,Q4L4T4,1.66669e-180,1,355,507.373,357
12,Q49W60,2.4995e-176,1,354,496.587,355
13,O05413,2.78908e-153,2,347,437.652,347
14,Q9HWH9,1.74838e-142,4,351,410.688,351
15,D0V3Y4,3.83369e-141,2,348,407.221,349
16,Q12723,2.92401e-132,1,374,385.65,374
17,B2TEK6,2.25159e-130,1,359,380.257,366
18,P47177,3.19463e-122,24,400,360.997,404
19,O06179,5.09197e-102,2,367,308.61,375
20,Q9I4V0,4.40489e-42,4,320,152.604,328
21,Q01284,6.05949e-24,33,368,104.454,378
22,Q8T6T2,4.97812e-09,32,398,60.9266,400
23,Q6A6A0,2.13635e-08,111,228,57.4598,229
24,Q7NTY1,1.93497e-07,128,240,55.5338,316
25,P49058,6.80276e-07,32,299,54.3782,404
26,Q02Z38,1.03222e-06,135,250,53.6078,329
27,Q9CGF1,1.03222e-06,135,250,53.6078,329
28,A2RL29,1.80529e-06,135,250,52.8374,329
29,B0KG90,1.81555e-06,90,321,52.8374,341
30,Q5WD10,1.86469e-06,86,273,52.8374,328
31,A8M9N4,2.66512e-06,7,190,50.9114,205
32,B1L993,2.85877e-06,158,414,52.4522,507
33,Q9WYM8,2.85877e-06,158,414,52.4522,507
34,A7Z8C3,5.30999e-06,82,272,51.2966,326
35,B9KBQ2,5.31495e-06,160,412,51.6818,507
36,Q04GD9,5.44563e-06,128,296,51.2966,323
37,Q8A9C3,6.24365e-06,1,267,50.9114,303
38,Q2SS69,8.18267e-06,85,210,49.7558,226
39,Q883P1,9.03206e-06,90,321,50.5262,343
40,Q0W1L8,9.70559e-06,94,203,49.3706,212
41,C1DDY1,1.05462e-05,90,321,50.5262,347
42,O05269,1.06138e-05,129,272,50.5262,326
43,Q8ERJ2,1.11393e-05,61,239,50.141,327
44,Q8R806,1.16062e-05,50,204,49.3706,214
45,B0T7X2,1.17592e-05,246,363,50.5262,380
46,Q9ZKZ2,1.36046e-05,123,271,50.141,325
47,Q9ZL14,1.73704e-05,30,410,50.141,481
48,Q8KCW4,2.03007e-05,276,373,49.7558,494
49,O25525,2.14588e-05,130,273,49.3706,327
50,Q8R9R7,2.15365e-05,16,264,49.3706,301
51,Q6HAI0,2.26462e-05,85,272,49.3706,327
52,A0RLN5,2.27192e-05,86,273,49.3706,328
53,Q185B2,2.39974e-05,110,205,48.6002,223
54,Q9UZQ5,2.43129e-05,48,204,48.215,207
55,Q88L40,2.64727e-05,90,321,48.9854,340
56,Q8U192,2.90273e-05,8,204,48.215,207
57,B5Z7L6,2.9189e-05,128,271,48.9854,325
58,Q1CT17,2.94522e-05,123,271,48.9854,325
59,B1YH73,3.31156e-05,135,240,48.9854,328
60,Q64TN0,3.3778e-05,1,267,48.6002,303
61,Q5LCI2,3.3778e-05,1,267,48.6002,303
62,O87392,3.57373e-05,240,377,48.9854,442
63,Q65LF6,4.15497e-05,129,272,48.6002,326
64,Q8XNZ3,4.50862e-05,71,205,47.8298,221
65,Q0TUP9,4.50862e-05,71,205,47.8298,221
66,C0MF02,4.60006e-05,78,240,48.215,327
67,C0MAM1,4.60006e-05,78,240,48.215,327
68,A6L5H1,4.71449e-05,58,267,48.215,303
69,Q630E8,4.98658e-05,85,272,48.215,327
70,Q81JJ9,4.98658e-05,85,272,48.215,327
71,Q0SWI9,5.3758e-05,71,205,47.4446,221
72,Q4KFI7,5.44992e-05,90,321,48.215,339
73,B2USX4,5.46926e-05,123,271,48.215,325
74,C3K017,5.52918e-05,90,321,48.215,341
75,Q814I1,6.60348e-05,86,273,47.8298,328
76,C4L088,6.64277e-05,143,239,47.8298,327
77,Q48JY0,6.64721e-05,90,321,47.8298,343
78,P56088,7.0228e-05,30,410,48.215,481
79,Q4VRV8,7.35404e-05,269,423,48.215,551
80,Q3KFC7,8.44647e-05,226,321,47.4446,339
81,Q39UK4,8.76063e-05,53,277,47.4446,305
82,Q58923,8.7896e-05,101,200,46.6742,219
83,O58878,9.12906e-05,42,204,46.6742,207
84,Q1ICL4,9.17856e-05,90,321,47.4446,340
85,Q9KGN8,9.19191e-05,33,112,47.8298,485
86,A2SQR0,9.26507e-05,98,220,46.6742,236
87,Q5P1A9,9.75851e-05,222,314,47.4446,350
88,B5EFU4,0.000110682,220,269,47.0594,305
89,Q9HLK8,0.000113609,252,409,47.4446,485
90,A6TVS0,0.000125291,219,278,47.0594,302
91,A5G3H0,0.000136103,45,269,46.6742,305
92,O50316,0.000157492,276,373,47.0594,494
93,Q74HT0,0.000190102,111,213,45.9038,230
94,Q040Z7,0.000200886,31,213,45.9038,230
95,Q9SA34,0.000219883,275,394,46.6742,502
96,Q4ZUM3,0.000227893,105,321,46.289,343
97,Q8G3N6,0.000238137,306,427,46.6742,545
98,C6E6N2,0.000269363,53,269,45.9038,305
99,A9BJH4,0.000274394,224,275,45.9038,300
100,Q9L6B7,0.000308402,274,370,46.289,487
101,A0QSU4,0.000318959,125,218,45.9038,375
102,A1KRQ4,0.000327792,105,314,45.9038,335
103,A3DD04,0.000372595,136,232,45.1334,255
104,A9M3G1,0.000390705,105,314,45.5186,341
105,B1J5B5,0.000438711,93,321,45.5186,341
106,Q6DAY3,0.00044783,256,333,45.5186,386
