,n_hits,accuracy,precision,recall,specificity,balanced_accuracy,mcc,f1_score
hmmsearch_out_C_1_denoised1_swissprot.domtblout,121.0,0.9998262325079968,0.1900826446280991,1.0,0.999826225421093,0.9999131127105464,0.4359468007642348,0.3194444444444444
hmmsearch_out_C_1_swissprot.domtblout,121.0,0.9998262325079968,0.1900826446280991,1.0,0.999826225421093,0.9999131127105464,0.4359468007642348,0.3194444444444444
hmmsearch_out_C_3_denoised1_uniref90.domtblout,127.0,0.9998120474066088,0.1732283464566929,0.9565217391304348,0.9998138129511712,0.978167776040803,0.407016867277399,0.2933333333333333
hmmsearch_out_C_3_uniref90.domtblout,154.0,0.9997641726894244,0.1428571428571428,0.9565217391304348,0.9997659362814724,0.9781438377059536,0.3696090217594794,0.2485875706214689
hmmsearch_out_C_4_denoised1_uniref90.domtblout,81.0,0.99989361173959,0.2716049382716049,0.9565217391304348,0.999895380610658,0.9782085598705464,0.5096723620781863,0.4230769230769231
hmmsearch_out_C_4_uniref90.domtblout,83.0,0.9998900654642427,0.2650602409638554,0.9565217391304348,0.9998918341906804,0.9782067866605576,0.503493312868247,0.4150943396226415
HMM_reference_search.domtblout,367.0,0.9993900406403154,0.0626702997275204,1.0,0.9993900157638368,0.9996950078819185,0.2502640042687142,0.1179487179487179
hmmsearch_out_M_1.domtblout,115.0,0.9998333250586908,0.1913043478260869,0.9565217391304348,0.9998350914710372,0.978178415300736,0.4277306672066661,0.3188405797101449
hmmsearch_out_M_4_denoised1_uniref90.domtblout,79.0,0.999897158014937,0.2784810126582278,0.9565217391304348,0.9998989270306358,0.9782103330805352,0.5160845856414338,0.4313725490196078
hmmsearch_out_M_4_uniref90.domtblout,82.0,0.9998918386019164,0.2682926829268293,0.9565217391304348,0.9998936074006692,0.978207673265552,0.5065545806826071,0.419047619047619
hmmsearch_out_O_1.domtblout,117.0,0.999829778783344,0.188034188034188,0.9565217391304348,0.9998315450510596,0.9781766420907472,0.4240582709569422,0.3142857142857143
hmmsearch_out_O_4_denoised1_uniref90.domtblout,82.0,0.9998918386019164,0.2682926829268293,0.9565217391304348,0.9998936074006692,0.978207673265552,0.5065545806826071,0.419047619047619
