,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,D0V3Y4,1.62644e-175,1,349,494.194,349
1,Q9HWH9,1.74169e-165,1,350,469.156,351
2,B2TEK6,8.04049e-160,7,362,455.288,366
3,P47177,1.76465e-153,22,404,440.651,404
4,Q12723,1.10692e-147,3,374,424.858,374
5,Q99VF6,8.37667e-118,1,354,348.203,355
6,A5IR97,8.37667e-118,1,354,348.203,355
7,A6U025,8.37667e-118,1,354,348.203,355
8,Q6GIG7,9.23966e-118,1,354,348.203,355
9,Q6GB05,1.20009e-117,1,354,347.818,355
10,Q8NXG7,1.42862e-117,1,354,347.433,355
11,Q49W60,2.65831e-117,1,354,347.047,355
12,A8Z1H7,4.97987e-116,1,354,343.581,355
13,A6QFD2,4.97987e-116,1,354,343.581,355
14,Q5HHG4,4.97987e-116,1,354,343.581,355
15,Q2FZX9,4.97987e-116,1,354,343.581,355
16,Q2FIF3,4.97987e-116,1,354,343.581,355
17,Q4L4T4,4.96609e-113,1,350,336.262,357
18,O05413,9.23758e-105,1,343,314.691,347
19,O06179,3.96347e-28,1,345,116.313,375
20,Q9I4V0,1.31249e-27,5,319,114.002,328
21,Q01284,2.53548e-19,33,375,91.6601,378
22,Q7NTY1,1.40158e-07,128,257,56.2217,316
23,Q6A6A0,3.03914e-07,111,229,54.2957,229
24,Q3KFC7,7.86257e-07,230,321,53.9105,339
25,Q8R7I7,1.18708e-06,110,211,52.3697,237
26,Q4KFI7,1.72039e-06,226,321,52.7549,339
27,A9BJH4,1.76816e-06,227,276,52.7549,300
28,Q58070,1.99266e-06,159,268,52.3697,306
29,Q48JY0,2.14432e-06,230,321,52.7549,343
30,C3K017,2.81429e-06,230,321,52.3697,341
31,B5EFU4,2.92745e-06,232,272,51.9845,305
32,Q4ZUM3,3.07126e-06,230,321,51.9845,343
33,Q8KCW4,4.8237e-06,331,373,51.9845,494
34,Q39UK4,5.92777e-06,232,272,50.8289,305
35,Q9ZL14,6.47568e-06,28,365,51.5993,481
36,Q883P1,6.94919e-06,230,321,50.8289,343
37,C6E6N2,1.0568e-05,232,272,50.0585,305
38,Q185B2,1.69986e-05,110,205,48.9029,223
39,Q480K7,2.14205e-05,231,322,49.2881,336
40,Q4QJK8,2.20012e-05,238,333,49.6733,381
41,P46454,2.23966e-05,238,333,49.6733,381
42,A5UBE3,2.30031e-05,238,333,49.6733,381
43,A5UFG9,2.40504e-05,238,333,49.2881,381
44,A5G3H0,2.51272e-05,232,272,48.9029,305
45,C1DDY1,2.59907e-05,230,321,49.2881,347
46,Q8A9C3,3.03905e-05,230,270,48.9029,303
47,Q64TN0,3.06657e-05,230,270,48.9029,303
48,Q5LCI2,3.06657e-05,230,270,48.9029,303
49,O87392,3.11068e-05,243,326,49.2881,442
50,Q1ICL4,3.42273e-05,230,321,48.9029,340
51,Q8FWN5,3.48006e-05,122,241,49.2881,525
52,O50316,3.52757e-05,331,373,49.2881,494
53,Q8YBP2,3.64542e-05,115,234,49.2881,518
54,P56088,4.22362e-05,28,365,48.9029,481
55,Q88L40,4.59821e-05,230,321,48.5177,340
56,B0BTC7,4.77265e-05,257,360,48.5177,381
57,Q2SS69,5.01705e-05,125,210,47.3621,226
58,B3GZA5,5.31029e-05,257,360,48.5177,381
59,A3N3E5,5.31029e-05,257,360,48.5177,381
60,Q13ZM3,5.40131e-05,245,325,48.1325,340
61,Q6DAY3,5.41208e-05,257,333,48.5177,386
62,Q0SWI9,5.77868e-05,110,201,47.3621,221
63,Q8XNZ3,5.77868e-05,110,201,47.3621,221
64,Q0TUP9,5.77868e-05,110,201,47.3621,221
65,B1XV77,6.18961e-05,236,322,48.1325,344
66,Q5P1A9,6.23291e-05,222,314,48.1325,350
67,A6TVS0,6.74953e-05,229,271,47.7473,302
68,B0KG90,7.47257e-05,230,321,47.7473,341
69,A6V325,8.34106e-05,237,321,47.7473,342
70,Q9HZF8,8.49142e-05,237,321,47.7473,342
71,B7UWL8,8.49142e-05,237,321,47.7473,342
72,Q02PL5,8.80031e-05,237,321,47.7473,342
73,B3E4T4,0.000101978,231,268,47.3621,304
74,O26154,0.000110054,233,309,47.3621,349
75,B2JKL9,0.000127581,265,325,46.9769,344
76,B2UNA2,0.000142182,266,326,46.9769,348
77,Q4VRV8,0.000144288,340,423,47.3621,551
78,B9M211,0.000166315,232,272,46.5917,305
79,Q01YA2,0.000173326,229,268,46.5917,304
80,P24547,0.000187091,296,407,46.9769,514
81,P12269,0.000188746,297,407,46.9769,514
82,P12268,0.000190415,297,407,46.9769,514
83,E9PU28,0.000195511,297,407,46.9769,514
84,Q12658,0.000196321,357,434,46.9769,529
85,B5YJH1,0.000199398,230,270,46.2065,303
86,A6VW35,0.000231022,230,342,46.2065,346
87,Q8CWG1,0.000246046,229,266,46.2065,304
88,A6L5H1,0.000251863,230,270,45.8213,303
89,A5FJK8,0.000272131,191,234,45.4361,243
90,Q3SWY3,0.000295686,287,407,46.2065,514
91,Q07152,0.00030405,310,426,46.2065,537
